City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Honningsvåg,70.9821,25.9704,39.2,81,75,6.91,NO,1620761343
Makakilo City,21.3469,-158.0858,80.6,54,40,10.36,US,1620761344
Honiara,-9.4333,159.95,77.52,83,100,2.68,SB,1620761344
São Miguel,-5.4667,-35.3667,84.2,74,40,10.36,BR,1620761344
Miles City,46.4083,-105.8406,62.6,31,20,12.66,US,1620761344
Malaut,30.2167,74.4833,89.74,24,100,7.83,IN,1620761345
Bandi̇̄pur,27.9333,84.4167,60.82,83,61,3.49,NP,1620761345
Poum,-20.2333,164.0167,77.4,77,92,13.78,NC,1620761345
Paamiut,61.994,-49.6678,36.32,85,100,16.67,GL,1620761345
Tigil',57.8,158.6667,32.68,76,28,6.24,RU,1620761346
Arbazh,57.6804,48.3065,54.54,79,3,5.53,RU,1620761346
Usinsk,65.9939,57.5281,43.38,83,100,8.21,RU,1620761346
Krasnoarmiys'k,48.282,37.1758,43.45,93,100,10.04,UA,1620761347
Xining,36.6167,101.7667,52.2,53,48,2.21,CN,1620761347
Hofn,64.2539,-15.2082,35.13,70,35,4.34,IS,1620761347
Tuatapere,-46.1333,167.6833,36.0,93,100,4.0,NZ,1620761347
Vila Velha,-20.3297,-40.2925,77.0,50,20,10.36,BR,1620761348
Coromandel,-18.4733,-47.2003,78.17,32,5,3.8,BR,1620761294
Bubaque,11.2833,-15.8333,76.95,70,34,14.09,GW,1620761348
Hambantota,6.1241,81.1185,78.8,100,40,3.44,LK,1620761349
Iracoubo,5.4802,-53.2011,81.63,75,92,11.01,GF,1620761349
Ankazoabo,-22.2833,44.5167,68.45,55,0,10.29,MG,1620761349
Paso de los Toros,-32.8167,-56.5167,60.8,51,20,11.5,UY,1620761349
Vila Franca do Campo,37.7167,-25.4333,64.4,77,20,13.8,PT,1620761350
Mount Isa,-20.7333,139.5,62.6,48,0,14.97,AU,1620761350
Zamora,-4.0692,-78.9567,80.6,41,75,21.85,EC,1620761350
Yining,29.0361,114.5636,65.5,97,15,0.6,CN,1620761351
Rājbirāj,26.5333,86.75,74.79,82,0,11.1,NP,1620761351
São João da Barra,-21.6403,-41.0511,78.8,53,0,13.8,BR,1620761351
Iztapa,13.9333,-90.7075,93.2,62,20,11.5,GT,1620761351
Saint-Augustin,51.226,-58.6502,41.74,79,100,15.21,CA,1620761270
Takhtamygda,54.1,123.5667,47.57,81,100,7.11,RU,1620761352
Oyama,36.3,139.8,62.01,93,75,6.91,JP,1620761352
Tzaneen,-23.8332,30.1635,62.6,36,0,5.75,ZA,1620761352
Chernenko,44.365,39.3103,47.53,64,100,9.04,RU,1620761353
Urucará,-2.5364,-57.76,86.41,63,29,3.69,BR,1620761353
Malangali,-8.5667,34.85,59.94,78,7,12.95,TZ,1620761353
Zapolyarnyy,69.4154,30.8136,39.2,93,75,4.61,RU,1620761354
Barranca,-10.75,-77.7667,69.73,69,0,11.95,PE,1620761354
Örnsköldsvik,63.2909,18.7153,44.6,100,90,9.22,SE,1620761354
Ambulu,-8.345,113.6058,75.27,87,39,3.31,ID,1620761354
Pochutla,15.7432,-96.4661,95.0,40,40,11.5,MX,1620761355
Khandyga,62.6667,135.6,43.52,86,100,4.74,RU,1620761355
Kirensk,57.7853,108.1119,30.97,89,28,5.23,RU,1620761355
Katsuura,35.1333,140.3,62.6,67,75,13.8,JP,1620761071
Moerai,-22.4333,-151.3333,77.79,79,100,12.17,PF,1620761356
Chumikan,54.7183,135.315,26.82,94,100,1.88,RU,1620761356
Bairiki Village,1.3292,172.9752,82.4,74,90,13.8,KI,1620761356
Oryol,52.9658,36.0803,47.82,89,7,9.06,RU,1620761357
Jadu,31.953,12.0261,64.85,64,15,12.41,LY,1620761357
Dārāb,28.7519,54.5444,79.48,21,14,6.76,IR,1620761357
Noumea,-22.2763,166.4572,78.01,83,0,9.82,NC,1620761357
Mbandaka,0.0487,18.2603,74.14,83,34,3.8,CD,1620761358
Nelson Bay,-32.7167,152.15,57.0,88,75,9.22,AU,1620761358
Ishigaki,24.3448,124.1572,79.7,91,100,17.96,JP,1620761358
Kabo,7.6994,18.629,79.43,65,71,4.88,CF,1620761359
Gaza,31.5,34.4667,73.0,60,0,3.44,PS,1620761268
Canals,38.9625,-0.5844,69.01,30,6,1.99,ES,1620761359
Papara,-3.9839,-38.7273,86.0,66,20,9.22,BR,1620761359
Culaman,5.9603,125.6586,79.43,82,92,2.71,PH,1620761359
Concordia,-31.393,-58.0209,63.0,48,0,6.91,AR,1620761360
Sula,15.4573,120.3955,80.6,83,40,4.61,PH,1620761360
Flin Flon,54.7682,-101.865,68.0,15,20,6.91,CA,1620761360
Masindi,1.6744,31.715,64.85,97,100,2.21,UG,1620761361
Moncton,46.1159,-64.8019,52.0,82,75,8.05,CA,1620761178
Horki,54.2861,30.9842,53.51,85,6,8.99,BY,1620761361
Teacapan,22.55,-105.75,85.41,50,59,12.37,MX,1620761361
Zmeinogorsk,51.1567,82.195,46.65,52,52,0.85,RU,1620761362
Saint Anthony,45.0205,-93.218,63.0,24,1,5.75,US,1620761362
Ciudad Juárez,31.7333,-106.4833,84.2,8,1,11.5,MX,1620761088
Mahibadhoo,3.7833,72.9667,80.33,88,100,14.29,MV,1620761362
Stornoway,58.2093,-6.3865,48.99,93,20,8.05,GB,1620761363
Kargasok,59.0556,80.8572,45.0,60,0,0.54,RU,1620761363
Kokstad,-30.5472,29.4241,55.06,40,0,4.05,ZA,1620761363
Norman Wells,65.282,-126.8329,48.2,49,20,11.5,CA,1620761363
Tūkrah,32.5341,20.5791,68.16,50,30,12.62,LY,1620761364
Seoul,37.5683,126.9778,66.2,26,0,10.36,KR,1620761320
Bereda,43.2686,-7.5406,50.0,97,100,11.99,ES,1620761364
Guri-si,37.5986,127.1394,66.2,31,75,6.91,KR,1620761364
Oskarshamn,57.2645,16.4484,52.0,80,97,4.81,SE,1620761365
Kavaratti,10.5669,72.642,84.94,72,100,5.12,IN,1620761365
Giohar,2.7809,45.5005,78.28,82,100,13.89,SO,1620761365
Pangnirtung,66.1451,-65.7125,28.4,93,90,16.11,CA,1620761366
Cape Canaveral,28.4058,-80.6048,89.01,54,20,9.22,US,1620761175
Piaçabuçu,-10.4056,-36.4344,78.87,72,12,14.63,BR,1620761366
Banda Aceh,5.5577,95.3222,80.76,81,89,3.76,ID,1620761366
Peleduy,59.6289,112.7406,33.21,98,99,3.31,RU,1620761367
Itarema,-2.9248,-39.9167,81.25,81,59,11.61,BR,1620761367
Quimper,48.0,-4.1,51.8,82,75,11.5,FR,1620761367
Lensk,60.7253,114.9278,33.6,97,100,5.37,RU,1620761367
Belmonte,-15.8631,-38.8828,77.0,61,40,4.61,BR,1620761368
Putyatino,54.16,41.1169,49.51,86,100,5.19,RU,1620761368
Russell,32.3502,-85.1999,84.2,58,20,6.29,US,1620761368
Lufilufi,-13.8745,-171.5986,78.8,94,75,5.75,WS,1620761369
Pandan,14.0453,124.1694,79.39,87,100,7.67,PH,1620761369
Ternuvate,47.8305,36.1276,50.0,66,75,6.71,UA,1620761369
Dagda,56.0951,27.5372,51.6,79,18,6.11,LV,1620761369
São José da Coroa Grande,-8.8978,-35.1478,77.77,85,27,15.05,BR,1620761370
Dali,25.7,100.1833,55.85,82,49,5.37,CN,1620761370
Huarmey,-10.0681,-78.1522,71.91,69,0,13.0,PE,1620761370
Sisimiut,66.9395,-53.6735,34.12,92,99,6.78,GL,1620761371
Olinda,-8.0089,-34.8553,78.8,73,40,17.27,BR,1620761371
Prome,18.8167,95.2167,83.64,67,100,3.2,MM,1620761371
Virden,39.5009,-89.7679,59.0,56,100,8.99,US,1620761130
Atbasar,51.8,68.3333,54.1,53,0,8.34,KZ,1620761372
Jalu,29.0331,21.5482,85.86,18,0,10.87,LY,1620761372
Oberá,-27.4871,-55.1199,56.66,99,100,4.03,AR,1620761372
Pashiya,58.4324,58.2562,51.82,82,53,3.36,RU,1620761372
Margate,51.3813,1.3862,55.99,63,100,5.01,GB,1620761373
Bāsudebpur,21.1353,86.7386,78.53,79,100,5.57,IN,1620761373
Bushehr,28.9684,50.8385,82.4,74,0,3.58,IR,1620761373
Solotcha,54.7917,39.8442,53.01,100,100,4.88,RU,1620761373
Pathein,16.7833,94.7333,81.86,79,65,4.47,MM,1620761374
Hennef,50.7756,7.2831,57.99,88,40,8.05,DE,1620761374
Petropavlovsk-Kamchatskiy,53.0452,158.6483,33.8,100,75,2.24,RU,1620761374
Mossendjo,-2.9506,12.7261,70.84,95,100,0.94,CG,1620761375
Athabasca,54.7169,-113.2854,60.8,33,10,6.91,CA,1620761375
Ugoofaaru,5.6667,73.0,83.97,79,100,21.12,MV,1620761375
Burgeo,47.6167,-57.6152,45.0,71,39,13.38,CA,1620761375
Luorong,24.4058,109.6086,75.88,90,69,1.32,CN,1620761376
Goundi,9.3627,17.366,89.17,41,58,2.01,TD,1620761376
Grindavik,63.8424,-22.4338,41.0,60,20,8.05,IS,1620761376
Westport,41.1415,-73.3579,64.99,35,100,10.29,US,1620761377
